p, theta_p
0.000000, 0.000000
0.010000, 0.000000
0.020000, 0.000000
0.030000, 0.000000
0.040000, 0.000000
0.050000, 0.000000
0.060000, 0.000000
0.070000, 0.000000
0.080000, 0.000000
0.090000, 0.000100
0.100000, 0.000100
0.110000, 0.000100
0.120000, 0.000200
0.130000, 0.000300
0.140000, 0.000300
0.150000, 0.000600
0.160000, 0.000900
0.170000, 0.001100
0.180000, 0.001400
0.190000, 0.002000
0.200000, 0.002600
0.210000, 0.003700
0.220000, 0.005000
0.230000, 0.006500
0.240000, 0.008200
0.250000, 0.010200
0.260000, 0.012400
0.270000, 0.015300
0.280000, 0.018200
0.290000, 0.022400
0.300000, 0.026400
0.310000, 0.030400
0.320000, 0.036400
0.330000, 0.042500
0.340000, 0.049300
0.350000, 0.058400
0.360000, 0.066700
0.370000, 0.077300
0.380000, 0.087700
0.390000, 0.098900
0.400000, 0.110700
0.410000, 0.123300
0.420000, 0.138600
0.430000, 0.153800
0.440000, 0.169700
0.450000, 0.188800
0.460000, 0.209000
0.470000, 0.232100
0.480000, 0.250600
0.490000, 0.271300
0.500000, 0.292100
0.510000, 0.317600
0.520000, 0.342700
0.530000, 0.369100
0.540000, 0.397200
0.550000, 0.421700
0.560000, 0.451000
0.570000, 0.479000
0.580000, 0.508500
0.590000, 0.535400
0.600000, 0.564400
0.610000, 0.591000
0.620000, 0.615200
0.630000, 0.640900
0.640000, 0.665900
0.650000, 0.692400
0.660000, 0.718800
0.670000, 0.740800
0.680000, 0.766200
0.690000, 0.786900
0.700000, 0.810500
0.710000, 0.830700
0.720000, 0.854000
0.730000, 0.872700
0.740000, 0.889600
0.750000, 0.904000
0.760000, 0.918800
0.770000, 0.933100
0.780000, 0.942500
0.790000, 0.952100
0.800000, 0.959800
0.810000, 0.967900
0.820000, 0.976300
0.830000, 0.981400
0.840000, 0.984900
0.850000, 0.988700
0.860000, 0.991800
0.870000, 0.994800
0.880000, 0.997000
0.890000, 0.997800
0.900000, 0.998700
0.910000, 0.999500
0.920000, 0.999600
0.930000, 0.999700
0.940000, 0.999700
0.950000, 0.999800
0.960000, 1.000000
0.970000, 1.000000
0.980000, 1.000000
0.990000, 1.000000
