sheet,distribution
0,0.632120559
1,0.232544158
2,0.085548215
3,0.031471429
4,0.011577692
5,0.004259195
6,0.00156687
7,0.000576419
8,0.000212053
9,7.80099E-05
10,2.86982E-05
11,1.05575E-05
12,3.88388E-06
13,1.4288E-06
14,5.25626E-07
15,1.93367E-07
16,7.11358E-08
17,2.61694E-08
18,9.62718E-09
19,3.54164E-09
20,1.3029E-09
21,4.79309E-10
22,1.76328E-10
23,6.48675E-11
24,2.38634E-11
25,8.77885E-12
26,3.22956E-12
27,1.18809E-12
28,4.37073E-13
29,1.6079E-13
30,5.91515E-14
31,2.17606E-14
32,8.00528E-15
33,2.94498E-15
34,1.0834E-15
35,3.98559E-16
36,1.46622E-16
37,5.39391E-17
38,1.98431E-17
39,7.29987E-18
40,2.68547E-18
41,9.8793E-19
42,3.63439E-19
43,1.33702E-19
44,4.91861E-20
45,1.80946E-20
46,6.65662E-21
47,2.44883E-21
48,9.00876E-22
49,3.31414E-22
50,1.2192E-22
51,4.4852E-23
52,1.65001E-23
53,6.07005E-24
54,2.23305E-24
55,8.21492E-25
56,3.0221E-25
57,1.11177E-25
58,4.08997E-26
59,1.50462E-26
60,5.53517E-27
61,2.03628E-27
62,7.49104E-28
63,2.7558E-28
64,1.0138E-28
65,3.72957E-29
66,1.37203E-29
67,5.04742E-30
68,1.85684E-30
69,6.83094E-31
70,2.51296E-31
71,9.24468E-32
72,3.40093E-32
73,1.25113E-32
74,4.60265E-33
75,1.69322E-33
76,6.22901E-34
77,2.29153E-34
78,8.43005E-35
79,3.10124E-35
80,1.14088E-35
81,4.19708E-36
82,1.54402E-36
83,5.68013E-37
84,2.0896E-37
85,7.68721E-38
86,2.82797E-38
87,1.04035E-38
88,3.82724E-39
89,1.40796E-39
90,5.1796E-40
91,1.90547E-40
92,7.00983E-41
93,2.57877E-41
94,9.48678E-42
95,3.48999E-42
96,1.2839E-42
97,4.72319E-43
98,1.73756E-43
99,6.39214E-44
100,2.35154E-44
101,8.65082E-45
102,3.18246E-45
103,1.17076E-45
104,4.30699E-46
105,1.58445E-46
