distribution,time,sheets,id,friends,surplus,agents,full_agents,stage
exponential,51,10,0,0,42,2,1,buy
exponential,110,10,1,2,101,2,2,buy
exponential,18,10,2,8,12,10,1,exchange
exponential,19,10,9,9,14,10,2,buy
exponential,30,10,1,2,21,5,1,buy
exponential,32,10,4,0,23,5,2,buy
uniform,14,10,1,2,5,5,1,buy
uniform,17,10,2,0,8,5,2,buy
uniform,21,10,4,0,12,5,3,buy
uniform,22,10,0,8,13,5,4,buy
uniform,39,10,3,2,30,5,5,buy
exponential,13,10,13,23,7,20,1,exchange
exponential,35,10,7,9,29,10,3,buy
exponential,70,10,3,2,61,5,3,buy
exponential,14,10,8,22,6,20,2,buy
exponential,37,10,0,9,30,10,4,buy
exponential,40,10,1,12,33,10,5,buy
exponential,160,20,0,0,141,2,1,buy
exponential,180,20,1,2,161,2,2,buy
uniform,12,10,5,14,7,10,3,exchange
exponential,17,10,15,16,11,20,3,buy
uniform,14,10,8,9,8,10,4,buy
exponential,128,10,2,0,119,5,4,buy
uniform,15,10,9,9,9,10,6,buy
exponential,43,10,5,14,37,10,6,buy
uniform,159,50,0,0,110,2,1,buy
uniform,24,10,7,9,17,10,7,buy
uniform,25,10,6,1,17,10,8,buy
uniform,27,10,4,2,21,10,9,buy
exponential,51,10,8,9,45,10,7,buy
uniform,37,10,2,8,31,10,10,buy
exponential,463,50,0,0,414,2,1,buy
uniform,265,50,1,2,216,2,2,buy
exponential,22,10,0,26,17,20,5,exchange
exponential,23,10,1,24,18,20,6,buy
uniform,9,10,28,28,5,30,6,exchange
uniform,10,10,17,37,3,30,11,exchange
uniform,11,10,27,35,7,30,17,exchange
exponential,261,10,0,8,252,5,5,buy
exponential,25,10,9,11,18,20,8,buy
exponential,96,10,6,1,88,10,8,buy
exponential,98,10,3,7,94,10,9,buy
exponential,83,20,4,0,64,5,1,buy
uniform,14,10,22,17,9,30,24,exchange
exponential,49,20,1,12,34,10,1,buy
uniform,16,10,23,18,11,30,27,exchange
exponential,32,10,18,22,25,20,9,buy
exponential,121,20,1,2,102,5,2,buy
exponential,34,10,19,13,27,20,10,buy
exponential,54,20,5,14,45,10,3,exchange
exponential,130,20,3,2,111,5,3,buy
exponential,781,50,1,2,732,2,2,buy
exponential,40,10,3,29,34,20,11,buy
exponential,173,20,0,8,154,5,4,buy
exponential,176,10,4,2,169,10,10,buy
uniform,23,10,16,29,17,30,28,buy
exponential,197,20,2,0,178,5,5,buy
exponential,41,10,11,19,32,20,12,buy
uniform,171,50,2,0,122,5,1,buy
uniform,26,10,7,30,19,30,29,buy
exponential,46,10,12,14,37,20,13,buy
uniform,182,50,0,8,133,5,2,buy
exponential,50,10,14,21,46,20,14,buy
uniform,205,50,4,0,156,5,3,buy
uniform,216,50,1,2,167,5,4,buy
uniform,237,50,3,2,188,5,5,buy
exponential,53,10,6,11,47,20,15,buy
uniform,70,50,8,9,41,10,1,exchange
