distribution,time,sheets,id,friends,surplus,purchased,agents,full_agents,stage
exponential,75,20,0,0,56,,2,1,buy
exponential,169,20,1,2,150,,2,2,buy
exponential,27,10,0,0,18,,2,1,buy
exponential,113,10,1,2,104,,2,2,buy
exponential,26,10,2,0,17,,5,1,buy
exponential,63,20,2,0,44,,5,1,buy
exponential,28,10,0,8,19,,5,2,buy
uniform,46,20,0,0,27,,2,1,buy
uniform,58,20,1,2,39,,2,2,buy
exponential,85,20,0,8,66,,5,2,buy
exponential,50,10,4,0,41,,5,3,buy
exponential,18,10,4,2,10,,10,1,buy
uniform,19,20,2,8,9,,10,1,exchange
exponential,20,10,3,7,14,,10,2,exchange
exponential,52,20,3,7,38,,10,1,buy
exponential,27,10,0,0,18,,2,1,buy
exponential,24,10,0,9,19,,10,3,buy
exponential,95,20,4,0,76,,5,3,buy
uniform,21,20,8,9,12,,10,2,exchange
exponential,105,20,3,2,86,,5,4,buy
exponential,109,20,1,2,90,,5,5,buy
exponential,25,10,1,12,18,,10,4,buy
uniform,39,20,3,2,20,,5,1,buy
exponential,60,20,5,14,48,,10,3,exchange
exponential,113,10,1,2,104,,2,2,buy
uniform,32,20,5,14,20,,10,4,exchange
uniform,65,20,2,0,46,,5,2,buy
exponential,26,10,2,0,17,,5,1,buy
exponential,28,10,0,8,19,,5,2,buy
uniform,71,20,1,2,52,,5,3,buy
uniform,37,20,3,7,26,,10,5,buy
uniform,38,20,9,9,23,,10,6,buy
exponential,40,10,2,8,34,,10,5,buy
uniform,83,20,4,0,64,,5,4,buy
uniform,87,20,0,8,68,,5,5,buy
exponential,50,10,4,0,41,,5,3,buy
exponential,148,10,3,2,139,,5,4,buy
exponential,153,10,1,2,144,,5,5,buy
exponential,9,10,0,26,5,,20,1,exchange
uniform,60,20,6,1,44,,10,7,buy
uniform,67,20,7,9,50,,10,9,buy
exponential,63,10,8,9,56,,10,6,buy
exponential,13,10,16,13,6,,20,2,exchange
uniform,346,100,1,2,247,,2,1,buy
exponential,15,10,7,17,8,,20,3,buy
exponential,148,10,3,2,139,,5,4,buy
uniform,46,20,0,0,27,,2,1,buy
exponential,153,10,1,2,144,,5,5,buy
uniform,58,20,1,2,39,,2,2,buy
exponential,80,10,6,1,71,,10,7,buy
uniform,510,100,0,0,411,,2,2,buy
uniform,39,20,3,2,20,,5,1,buy
exponential,91,10,7,9,83,,10,8,buy
uniform,19,20,2,8,9,,10,1,exchange
uniform,21,20,8,9,12,,10,2,exchange
exponential,97,20,8,9,83,,10,5,exchange
exponential,101,20,1,12,85,,10,6,buy
uniform,65,20,2,0,46,,5,2,buy
uniform,71,20,1,2,52,,5,3,buy
uniform,83,20,4,0,64,,5,4,buy
exponential,23,10,18,22,17,,20,5,exchange
exponential,112,10,5,14,106,,10,9,buy
uniform,87,20,0,8,68,,5,5,buy
uniform,32,20,5,14,20,,10,4,exchange
exponential,443,50,1,2,394,,2,1,buy
exponential,25,10,15,16,19,,20,7,exchange
uniform,37,20,3,7,26,,10,5,buy
uniform,38,20,9,9,23,,10,6,buy
uniform,141,20,1,12,126,,10,10,buy
exponential,571,50,0,0,522,,2,2,buy
uniform,346,100,1,2,247,,2,1,buy
exponential,30,10,11,19,22,,20,8,buy
exponential,31,10,19,13,24,,20,9,buy
exponential,127,20,2,8,113,,10,7,buy
uniform,60,20,6,1,44,,10,7,buy
exponential,134,20,6,1,116,,10,8,buy
uniform,510,100,0,0,411,,2,2,buy
uniform,67,20,7,9,50,,10,9,buy
exponential,443,50,1,2,394,,2,1,buy
exponential,41,10,10,4,34,,20,10,buy
exponential,571,50,0,0,522,,2,2,buy
exponential,43,10,14,21,36,,20,11,buy
exponential,49,10,13,23,43,,20,12,buy
uniform,18,20,18,27,8,,30,1,buy
exponential,304,10,9,9,297,,10,10,buy
uniform,19,20,16,29,7,,30,4,exchange
exponential,59,10,4,6,51,,20,13,buy
uniform,141,20,1,12,126,,10,10,buy
exponential,11,10,27,53,4,,50,1,buy
uniform,20,20,5,26,9,,30,5,exchange
exponential,62,10,5,25,57,,20,15,buy
uniform,21,20,19,48,9,,30,9,exchange
exponential,211,20,9,9,196,,10,9,buy
exponential,213,20,7,9,200,,10,10,buy
uniform,22,20,8,39,10,,30,10,exchange
uniform,23,20,27,35,13,,30,13,exchange
exponential,71,10,12,14,64,,20,16,buy
uniform,24,20,17,37,15,,30,15,exchange
uniform,18,20,18,27,8,,30,1,buy
uniform,25,20,24,34,17,,30,19,exchange
exponential,260,50,2,0,211,,5,1,buy
exponential,11,10,27,53,4,,50,1,buy
uniform,26,20,10,41,16,,30,20,exchange
uniform,19,20,16,29,7,,30,4,exchange
uniform,27,20,25,22,15,,30,22,exchange
uniform,20,20,5,26,9,,30,5,exchange
exponential,996,100,1,2,897,,2,1,buy
exponential,13,10,19,33,7,,50,3,exchange
exponential,83,10,9,11,75,,20,17,buy
uniform,21,20,19,48,9,,30,9,exchange
exponential,11,10,10,41,6,,30,1,exchange
uniform,22,20,8,39,10,,30,10,exchange
uniform,30,20,28,28,21,,30,23,exchange
uniform,23,20,27,35,13,,30,13,exchange
exponential,14,10,9,38,7,,50,4,buy
uniform,24,20,17,37,15,,30,15,exchange
exponential,13,10,8,39,6,,30,2,buy
uniform,33,20,29,14,24,,30,24,buy
uniform,25,20,24,34,17,,30,19,exchange
exponential,13,10,19,33,7,,50,3,exchange
exponential,1231,100,0,0,1132,,2,2,buy
uniform,26,20,10,41,16,,30,20,exchange
uniform,27,20,25,22,15,,30,22,exchange
exponential,337,50,3,2,288,,5,2,buy
exponential,15,10,28,32,9,,50,5,exchange
exponential,108,10,17,9,102,,20,18,buy
exponential,14,10,9,38,7,,50,4,buy
uniform,30,20,28,28,21,,30,23,exchange
exponential,18,10,14,17,10,,30,3,buy
exponential,19,10,4,28,12,,30,5,exchange
exponential,119,10,2,13,113,,20,19,buy
uniform,33,20,29,14,24,,30,24,buy
