time,sheets,id,friends,surplus,agents,full_agents,stage
14,10,0,0,5,1,1,buy
24,10,3,0,15,4,2,buy
30,10,2,2,21,4,3,buy
42,10,1,2,33,4,4,buy
22,10,4,4,13,7,1,buy
23,10,6,0,14,7,5,buy
25,10,5,6,16,7,7,buy
14,10,0,0,5,1,1,buy
24,10,3,0,15,4,2,buy
30,10,2,2,21,4,3,buy
42,10,1,2,33,4,4,buy
22,10,4,4,13,7,1,buy
23,10,6,0,14,7,5,buy
25,10,5,6,16,7,7,buy
28,16,0,0,13,1,1,buy
41,16,0,0,26,4,1,buy
51,16,3,0,36,4,2,buy
71,16,1,2,56,4,3,buy
74,16,2,2,59,4,4,buy
33,16,2,10,18,7,1,buy
35,16,3,4,20,7,2,buy
43,16,1,2,28,7,3,buy
48,16,5,6,33,7,4,buy
53,16,6,0,38,7,5,buy
54,16,4,4,39,7,6,buy
75,16,0,8,60,7,7,buy
137,23,0,0,115,1,1,buy
67,23,2,2,45,4,1,buy
69,23,3,0,47,4,2,buy
76,23,1,2,54,4,3,buy
79,23,0,0,57,4,4,buy
45,23,1,2,23,7,1,buy
57,23,6,0,35,7,2,buy
74,23,0,8,52,7,3,buy
81,23,5,6,59,7,4,buy
82,23,4,4,60,7,5,buy
87,23,3,4,65,7,6,buy
115,23,2,10,93,7,7,buy
167,30,0,0,138,1,1,buy
75,30,3,0,46,4,1,buy
91,30,1,2,62,4,2,buy
127,30,0,0,98,4,3,buy
148,30,2,2,119,4,4,buy
74,30,6,0,45,7,1,buy
80,30,4,4,51,7,2,buy
86,30,3,4,57,7,3,buy
99,30,2,10,70,7,4,buy
102,30,0,8,73,7,5,buy
115,30,1,2,86,7,6,buy
120,30,5,6,91,7,7,buy
153,37,0,0,117,1,1,buy
96,37,1,2,60,4,1,buy
146,37,3,0,110,4,2,buy
150,37,2,2,114,4,3,buy
157,37,0,0,121,4,4,buy
100,37,0,8,64,7,1,buy
120,37,4,4,84,7,2,buy
147,37,1,2,111,7,3,buy
148,37,3,4,112,7,4,buy
175,37,2,10,139,7,5,buy
209,37,5,6,173,7,6,buy
