,time,radio,reward,distance,power
0,0,0.499766391273283,1.0,0.2925947570481305,11
1,1,1.0726570652000254,1.0,0.7347893651354559,12
2,2,0.9478815943869513,1.0,0.2808215335879116,11
3,3,1.5122076209194273,1.0,0.4903330091396869,11
4,4,1.776753719987855,0.0,1.030444631951827,11
5,5,1.8955807678969903,1.0,0.7615869221153974,11
6,6,1.7311590307107132,0.0,0.9504650493324426,11
7,7,2.1913660886003927,1.0,1.5113664148347001,30
8,8,2.404036709935984,1.0,1.401826340047255,17
9,9,2.7469226398279254,1.0,1.3246297990658733,17
10,10,2.761124674772212,0.0,1.1914954545033267,14
11,11,2.621918466118157,1.0,1.4044980786021044,35
12,12,2.807375811132457,1.0,1.9127597118314277,26
13,13,2.8296035871772376,1.0,1.719795328984434,20
14,14,2.8325759978400282,0.0,1.8420771517712227,17
15,15,2.7854736081044495,0.0,1.927121494807978,22
16,16,2.895686722260502,1.0,1.993868766316091,32
17,17,2.6999488261323257,1.0,1.5691452685237328,18
18,18,2.7903545741439424,1.0,1.1832177239043964,19
19,19,2.7169328338231633,1.0,1.5917964414777401,19
20,20,3.0880859875142876,0.0,1.1572270221197711,13
21,21,3.1505828678019197,1.0,1.75075779047575,29
22,22,3.185968068734467,0.0,1.7394334871827173,20
23,23,3.6929006880311452,1.0,0.9500581019749116,11
24,24,3.3463426864869437,1.0,1.462601844371047,10
25,25,3.2019835671939827,1.0,2.608357809268559,18
26,26,3.0215622634433266,1.0,1.8695638298196928,22
27,27,3.247576198653976,1.0,2.1492073642871414,18
28,28,3.387199540693796,1.0,2.429802039058743,16
29,29,3.50128386139864,1.0,2.219434513718187,20
0,0,0.4767644039924587,1.0,0.13943553167820547,11
1,1,1.0361229915363712,1.0,1.0494317025759519,18
2,2,1.099722963518296,1.0,0.5324784846200038,10
3,3,1.314079693001704,1.0,0.7787165801262824,12
4,4,1.834367942683061,1.0,1.5867091750829552,21
5,5,2.0300064290121353,0.0,1.4060807289026322,16
6,6,2.1374874152793537,0.0,2.015532332120862,14
7,7,2.281377719600236,1.0,2.1115400840593095,20
8,8,2.388857391057477,0.0,2.66276949718521,21
9,9,2.418520244992294,1.0,2.3367928310000394,31
10,10,2.6759155098462926,0.0,2.292709333213565,22
11,11,2.7854719313601195,1.0,1.9751336046450654,19
12,12,2.9349500877302437,1.0,2.1911126158550327,24
13,13,3.0518785178603074,0.0,2.048524781421947,23
14,14,3.1372154689177365,1.0,1.6272850281976372,21
15,15,3.0876816769525113,0.0,1.373535242260571,12
16,16,2.7591919685338233,1.0,1.0326229984537643,26
17,17,2.6219981269231307,1.0,1.4251045643142364,17
18,18,2.4339561143151096,1.0,1.358445134541353,16
19,19,2.550984115941587,1.0,1.3993189373666775,15
20,20,2.6301976296474407,1.0,1.0403413033111317,12
21,21,2.8823160734476065,1.0,0.3837556604092459,11
22,22,2.7994051393182073,0.0,0.6991828062722979,11
23,23,2.9008897322980154,1.0,0.5408950138414061,11
24,24,3.088629917017324,0.0,1.2132665215179603,14
25,25,3.1094228029890187,0.0,1.1688358823791527,14
26,26,3.188704043964171,0.0,0.062445575072790076,11
27,27,3.691792411927637,1.0,0.06805584598661252,12
28,28,3.699048792752156,1.0,0.43782026222099846,10
29,29,3.519052385592024,1.0,0.4952924273365319,31
0,0,0.4754572336677519,1.0,0.45567969745819586,12
1,1,0.8719771281996581,1.0,0.5841386992009783,11
2,2,0.9626017722602993,0.0,1.1379605252233223,13
3,3,1.306012498126005,1.0,0.5133162608547899,11
4,4,1.6976263611971703,0.0,1.104276327397097,15
5,5,1.9481412178156228,1.0,0.6318868848705479,11
6,6,2.4839092846532886,1.0,0.9843555193551625,10
7,7,2.675795028798316,1.0,0.8623336524969588,30
8,8,2.9811244717617567,0.0,0.9501400536623885,11
9,9,3.1244344104409905,1.0,1.5240816954043563,18
10,10,2.8838276017508213,1.0,1.7892641705006918,27
11,11,2.8500359687254657,1.0,1.3030838019058701,13
12,12,2.8510138462555226,1.0,1.6451087634026405,17
13,13,3.451049966781832,0.0,0.9787757946166776,11
14,14,3.1344722695299017,0.0,0.8607537871060962,11
15,15,3.2241603261539202,0.0,0.6776021473747044,11
16,16,3.1906285351855943,1.0,1.6659136463822735,26
17,17,3.1795542911544588,1.0,1.6414821200536671,19
18,18,2.9291844333568537,1.0,1.1731357063273706,14
19,19,2.852034644944247,1.0,1.5957376883095302,14
20,20,3.236451168456027,1.0,1.130158394539757,13
21,21,2.948904112601305,1.0,1.2458940460205112,15
22,22,3.072882259915858,0.0,0.9968511552318369,11
23,23,3.0160903483080985,0.0,1.5714633772539777,11
24,24,3.0259147367055985,0.0,1.4347265576125132,14
25,25,3.2238474375518655,1.0,1.7903281168839607,18
26,26,2.862685119520447,0.0,1.7815708753035409,11
27,27,2.9781694295916386,1.0,1.6464482331618064,19
28,28,3.1103184911193806,1.0,2.5212969792323108,18
29,29,3.035339212886475,1.0,2.7557760858657394,17
0,0,0.513487397899141,1.0,0.43736421138110404,29
1,1,1.1056690916829988,1.0,0.7168255306024215,11
2,2,1.2810363636736646,1.0,0.9343471306227962,11
3,3,1.43680706966276,1.0,1.490363786414825,19
4,4,1.870172467879914,0.0,1.2323460695108563,16
5,5,1.926825368776247,1.0,1.3522505017784514,15
6,6,2.1827782533356155,0.0,0.344221848647356,13
7,7,2.6926612193739454,0.0,0.8512799611160754,11
8,8,2.877520411774338,1.0,1.0146674642597235,10
9,9,2.178866206878251,1.0,0.825544515944186,27
10,10,2.262248326799609,1.0,0.8686602068404934,11
11,11,2.3840263760777822,1.0,1.0375826810110134,13
12,12,2.582638075925148,1.0,1.7917511134703845,30
13,13,2.0041312163359177,0.0,2.0828476063734165,29
14,14,2.017030017918773,1.0,2.2161216886198827,15
15,15,2.292528297517334,1.0,2.26066619150764,25
16,16,2.5609733825705305,1.0,2.726153453187326,45
17,17,2.8435740309252275,1.0,2.11215085320395,24
18,18,3.199564447607989,0.0,1.6602420394347486,20
19,19,3.589508887236148,1.0,1.9465015889442803,15
20,20,3.6299095535925434,1.0,1.548096885650159,11
21,21,3.344278499013211,1.0,0.7709991150077615,12
22,22,3.338258861871493,1.0,1.1154574958354444,13
23,23,3.342518643479103,1.0,1.2774932162345893,28
24,24,3.3514706725202994,1.0,1.2240943532820752,14
25,25,3.088997517126978,1.0,2.1261391635998272,20
26,26,3.1319041939436274,1.0,1.307701028165421,14
27,27,3.229431176393152,1.0,2.130192093879778,19
28,28,3.1766367474891806,1.0,2.8006674502507054,20
29,29,3.130896120781621,1.0,3.0326998339670905,24
0,0,0.47443910329589706,1.0,0.36982116714619145,11
1,1,0.9421509292138002,1.0,0.26318090237746944,11
2,2,1.554722815130082,1.0,0.3083370567407853,11
3,3,1.378141143618141,1.0,1.3674483638823485,18
4,4,1.699996159544314,1.0,0.8439392676411294,12
5,5,1.9960642719021802,1.0,1.2004620343364767,18
6,6,2.38966312711989,1.0,0.8461628589611425,13
7,7,2.8176234778982647,0.0,1.8043171298379652,19
8,8,2.786794632928229,1.0,2.227351726013134,17
9,9,2.295559692630809,1.0,2.209019529111055,24
10,10,2.3843215110458336,1.0,2.866348477016951,28
11,11,2.4853886641048626,1.0,3.2270148996129753,21
