,time,radio,power
0,0,0.999532783,26
1,1,1.177656949,13
2,2,0.906927985,13
3,3,1.152288939,13
4,4,1.092623441,13
5,5,1.283758939,13
6,6,1.29917211,13
7,7,1.504556367,16
8,8,1.565825925,16
9,9,1.708529936,14
10,10,1.932994747,13
11,11,1.906819685,26
12,12,2.285902665,14
13,13,2.303785578,17
14,14,2.339406274,19
15,15,2.359035964,15
16,16,2.361133487,16
17,17,2.688576257,16
18,18,2.339631377,13
19,19,2.312623484,20
20,0,0.999532783,26
21,1,1.177656949,13
22,2,0.906927985,13
23,3,1.152288939,13
24,4,1.092623441,13
25,5,1.283758939,13
26,6,1.29917211,13
27,7,1.504556367,16
28,8,1.565825925,16
29,9,1.708529936,14
30,10,1.932994747,13
31,11,1.906819685,26
32,12,2.285902665,14
33,13,2.303785578,17
34,14,2.339406274,19
35,15,2.359035964,15
36,16,2.361133487,16
37,17,2.688576257,16
38,18,2.339631377,13
39,19,2.312623484,20
40,0,0.999532783,26
41,1,1.177656949,13
42,2,0.906927985,13
43,3,1.152288939,13
44,4,1.092623441,13
45,5,1.283758939,13
46,6,1.29917211,13
47,7,1.504556367,16
48,8,1.565825925,16
49,9,1.708529936,14
50,10,1.932994747,13
51,11,1.906819685,26
52,12,2.285902665,14
53,13,2.303785578,17
54,14,2.339406274,19
55,15,2.359035964,15
56,16,2.361133487,16
57,17,2.688576257,16
58,18,2.339631377,13
59,19,2.312623484,20
60,0,0.999532783,26
61,1,1.177656949,13
62,2,0.906927985,13
63,3,1.152288939,13
64,4,1.092623441,13
65,5,1.283758939,13
66,6,1.29917211,13
67,7,1.504556367,16
68,8,1.565825925,16
69,9,1.708529936,14
70,10,1.932994747,13
71,11,1.906819685,26
72,12,2.285902665,14
73,13,2.303785578,17
74,14,2.339406274,19
75,15,2.359035964,15
76,16,2.361133487,16
77,17,2.688576257,16
78,18,2.339631377,13
79,19,2.312623484,20
80,0,0.999532783,26
81,1,1.177656949,13
82,2,0.906927985,13
83,3,1.152288939,13
84,4,1.092623441,13
85,5,1.283758939,13
86,6,1.29917211,13
87,7,1.504556367,16
88,8,1.565825925,16
89,9,1.708529936,14
90,10,1.932994747,13
91,11,1.906819685,26
92,12,2.285902665,14
93,13,2.303785578,17
94,14,2.339406274,19
95,15,2.359035964,15
96,16,2.361133487,16
97,17,2.688576257,16
98,18,2.339631377,13
99,19,2.312623484,20
100,0,0.999532783,26
101,1,1.177656949,13
102,2,0.906927985,13
103,3,1.152288939,13
104,4,1.092623441,13
105,5,1.283758939,13
106,6,1.29917211,13
107,7,1.504556367,16
108,8,1.565825925,16
109,9,1.708529936,14
110,10,1.932994747,13
111,11,1.906819685,26
112,12,2.285902665,14
113,13,2.303785578,17
114,14,2.339406274,19
115,15,2.359035964,15
116,16,2.361133487,16
117,17,2.688576257,16
118,18,2.339631377,13
119,19,2.312623484,20
120,0,0.999532783,26
121,1,1.177656949,13
122,2,0.906927985,13
123,3,1.152288939,13
124,4,1.092623441,13
125,5,1.283758939,13
126,6,1.29917211,13
127,7,1.504556367,16
128,8,1.565825925,16
129,9,1.708529936,14
130,10,1.932994747,13
131,11,1.906819685,26
132,12,2.285902665,14
133,13,2.303785578,17
134,14,2.339406274,19
135,15,2.359035964,15
136,16,2.361133487,16
137,17,2.688576257,16
138,18,2.339631377,13
139,19,2.312623484,20
140,0,0.999532783,26
141,1,1.177656949,13
142,2,0.906927985,13
143,3,1.152288939,13
144,4,1.092623441,13
145,5,1.283758939,13
146,6,1.29917211,13
147,7,1.504556367,16
148,8,1.565825925,16
149,9,1.708529936,14
150,10,1.932994747,13
151,11,1.906819685,26
152,12,2.285902665,14
153,13,2.303785578,17
154,14,2.339406274,19
155,15,2.359035964,15
156,16,2.361133487,16
157,17,2.688576257,16
158,18,2.339631377,13
159,19,2.312623484,20
160,0,0.999532783,26
161,1,1.177656949,13
162,2,0.906927985,13
163,3,1.152288939,13
164,4,1.092623441,13
165,5,1.283758939,13
166,6,1.29917211,13
167,7,1.504556367,16
168,8,1.565825925,16
169,9,1.708529936,14
170,10,1.932994747,13
171,11,1.906819685,26
172,12,2.285902665,14
173,13,2.303785578,17
174,14,2.339406274,19
175,15,2.359035964,15
176,16,2.361133487,16
177,17,2.688576257,16
178,18,2.339631377,13
179,19,2.312623484,20
180,0,0.999532783,26
181,1,1.177656949,13
182,2,0.906927985,13
183,3,1.152288939,13
184,4,1.092623441,13
185,5,1.283758939,13
186,6,1.29917211,13
187,7,1.504556367,16
188,8,1.565825925,16
189,9,1.708529936,14
190,10,1.932994747,13
191,11,1.906819685,26
192,12,2.285902665,14
193,13,2.303785578,17
194,14,2.339406274,19
195,15,2.359035964,15
196,16,2.361133487,16
197,17,2.688576257,16
198,18,2.339631377,13
199,19,2.312623484,20
200,0,0.999532783,26
201,1,1.177656949,13
202,2,0.906927985,13
203,3,1.152288939,13
204,4,1.092623441,13
205,5,1.283758939,13
206,6,1.29917211,13
207,7,1.504556367,16
208,8,1.565825925,16
209,9,1.708529936,14
210,10,1.932994747,13
211,11,1.906819685,26
212,12,2.285902665,14
213,13,2.303785578,17
214,14,2.339406274,19
215,15,2.359035964,15
216,16,2.361133487,16
217,17,2.688576257,16
218,18,2.339631377,13
219,19,2.312623484,20
220,0,0.999532783,26
221,1,1.177656949,13
222,2,0.906927985,13
223,3,1.152288939,13
224,4,1.092623441,13
225,5,1.283758939,13
226,6,1.29917211,13
227,7,1.504556367,16
228,8,1.565825925,16
229,9,1.708529936,14
230,10,1.932994747,13
231,11,1.906819685,26
232,12,2.285902665,14
233,13,2.303785578,17
234,14,2.339406274,19
235,15,2.359035964,15
236,16,2.361133487,16
237,17,2.688576257,16
238,18,2.339631377,13
239,19,2.312623484,20
240,0,0.999532783,26
241,1,1.177656949,13
242,2,0.906927985,13
243,3,1.152288939,13
244,4,1.092623441,13
245,5,1.283758939,13
246,6,1.29917211,13
247,7,1.504556367,16
248,8,1.565825925,16
249,9,1.708529936,14
250,10,1.932994747,13
251,11,1.906819685,26
252,12,2.285902665,14
253,13,2.303785578,17
254,14,2.339406274,19
255,15,2.359035964,15
256,16,2.361133487,16
257,17,2.688576257,16
258,18,2.339631377,13
259,19,2.312623484,20
260,0,0.999532783,26
261,1,1.177656949,13
262,2,0.906927985,13
263,3,1.152288939,13
264,4,1.092623441,13
265,5,1.283758939,13
266,6,1.29917211,13
267,7,1.504556367,16
268,8,1.565825925,16
269,9,1.708529936,14
270,10,1.932994747,13
271,11,1.906819685,26
272,12,2.285902665,14
273,13,2.303785578,17
274,14,2.339406274,19
