c_episode,c_packets,c_rate,c_power,b_episode,b_packets,b_rate,b_power
0,1,8,1.0,237,1,7,0.875,133
1,2,16,1.0,478,2,13,0.8125,227
2,3,23,1.0,729,3,18,0.782608695652174,295
3,4,31,1.0,1027,4,24,0.7741935483870968,539
4,5,38,1.0,1382,5,30,0.7894736842105263,569
0,6,46,1.0,1738,6,33,0.717391304347826,625
1,7,53,1.0,2112,7,41,0.7735849056603774,1059
2,8,61,1.0,2593,8,47,0.7704918032786885,885
3,9,68,1.0,2998,9,49,0.7205882352941176,1102
4,10,76,1.0,3535,10,55,0.7236842105263158,1460
0,11,83,1.0,4005,11,61,0.7349397590361446,1382
1,12,91,1.0,4610,12,59,0.6483516483516484,2162
2,13,98,1.0,5139,13,71,0.7244897959183674,1481
3,14,106,1.0,5793,14,75,0.7075471698113207,1741
4,15,113,1.0,6421,15,74,0.6548672566371682,2422
0,16,121,1.0,7158,16,86,0.7107438016528925,1633
1,17,128,1.0,7794,17,83,0.6484375,3169
2,18,136,1.0,8564,18,107,0.7867647058823529,2229
3,19,143,1.0,9275,19,97,0.6783216783216783,2687
4,20,151,1.0,10140,20,111,0.7350993377483444,3383
0,21,158,1.0,10916,21,117,0.740506329113924,2202
1,22,166,1.0,11842,22,109,0.6566265060240963,3639
2,23,173,1.0,12601,23,135,0.7803468208092486,2975
3,24,180,0.994475138121547,13591,24,132,0.7292817679558011,3893
4,25,187,0.9946808510638298,14558,25,135,0.7180851063829787,3762
0,27,203,1.0,16498,27,152,0.7487684729064039,3620
1,28,211,1.0,17624,28,141,0.6682464454976303,4844
2,29,218,1.0,18518,29,157,0.7201834862385321,3361
3,30,226,1.0,19733,30,161,0.7123893805309734,4721
0,31,233,1.0,20847,31,171,0.7339055793991416,3982
1,32,238,0.9875518672199171,22085,32,166,0.6887966804979253,5607
2,33,248,1.0,23060,33,175,0.7056451612903226,3947
3,34,256,1.0,24461,34,183,0.71484375,5402
4,35,262,0.9961977186311787,25688,35,189,0.7186311787072244,5728
0,36,271,1.0,26991,36,190,0.7011070110701108,5319
1,37,278,1.0,28274,37,182,0.6546762589928058,6120
2,38,286,1.0,29570,38,211,0.7377622377622378,4903
3,39,293,1.0,30899,39,203,0.6928327645051194,6078
4,40,300,0.9966777408637874,32468,40,203,0.6744186046511628,5748
0,41,308,1.0,33718,41,207,0.672077922077922,6495
1,42,316,1.0,35400,42,208,0.6582278481012658,7101
2,43,323,1.0,36606,43,226,0.6996904024767802,5118
3,44,331,1.0,38302,44,236,0.7129909365558912,6695
4,45,337,0.9970414201183432,39817,45,236,0.6982248520710059,6709
