,time,radio,reward,power
0,0,0.499766391273283,1.0,11
1,1,1.0726570652000225,1.0,11
2,2,0.9478815943869552,1.0,11
3,3,1.5122076209194313,1.0,13
4,4,1.7767537199878587,0.0,10
5,5,1.895580767896994,1.0,11
6,6,1.7311590307106985,1.0,11
7,7,2.1913660886003945,1.0,14
8,8,2.404036709935988,0.0,16
9,9,2.7469226398279045,1.0,16
10,10,2.7611246747721947,1.0,12
11,11,2.6219184661181325,1.0,13
12,12,2.807375811132438,1.0,24
13,13,2.8296035871772207,0.0,18
14,14,2.832575997840025,1.0,25
15,15,2.7854736081044638,1.0,22
16,16,2.8956867222604803,1.0,23
17,17,2.699948826132328,1.0,15
18,18,2.790354574143951,0.0,11
19,19,2.7169328338231744,1.0,15
20,20,3.088085987514301,0.0,13
21,21,3.150582867801937,1.0,48
22,22,3.1859680687344807,1.0,12
23,23,3.6929006880311537,1.0,11
24,24,3.346342686486948,1.0,30
25,25,3.201983567193983,1.0,30
26,26,3.021562263443333,0.0,20
27,27,3.2475761986539853,1.0,20
28,28,3.3871995406937976,0.0,25
29,29,3.501283861398643,1.0,25
30,30,3.2645030731381377,1.0,22
31,31,3.499220543091552,1.0,21
32,32,3.3317074353747063,1.0,14
33,33,3.1272633576919677,1.0,20
34,34,2.9957848917951586,1.0,15
35,35,3.244977629243588,1.0,18
36,36,3.197861653165179,1.0,11
37,37,3.3119329014240213,1.0,11
38,38,3.1020326783462857,0.0,11
39,39,3.0643024037079662,1.0,11
40,40,3.317568586527015,0.0,11
41,41,2.938084400861981,1.0,11
42,42,2.844187067292927,1.0,11
43,43,2.818889792713713,1.0,11
44,44,3.0014674826101095,0.0,10
45,45,2.95586259516812,1.0,28
46,46,2.5880251593949994,1.0,11
47,47,2.764786922172157,1.0,11
48,48,2.7123285221544697,1.0,12
49,49,3.175500472854922,1.0,24
0,0,0.4767644039924587,1.0,13
1,1,1.0361229915363663,1.0,13
2,2,1.0997229635182957,0.0,10
3,3,1.3140796930016994,1.0,11
4,4,1.834367942683063,1.0,19
5,5,2.0300064290121362,0.0,17
6,6,2.137487415279344,1.0,33
7,7,2.281377719600229,1.0,30
8,8,2.3888573910574737,0.0,26
9,9,2.418520244992299,1.0,25
10,10,2.6759155098463014,0.0,21
11,11,2.7854719313601293,1.0,17
12,12,2.934950087730252,1.0,18
13,13,3.0518785178603167,1.0,20
14,14,3.1372154689177445,1.0,19
15,15,3.087681676952525,1.0,16
16,16,2.759191968533832,1.0,12
17,17,2.621998126923135,1.0,31
18,18,2.4339561143151403,1.0,16
19,19,2.5509841159416187,1.0,17
20,20,2.630197629647454,1.0,12
21,21,2.882316073447622,1.0,11
22,22,2.7994051393182398,1.0,12
23,23,2.900889732298046,1.0,11
24,24,3.088629917017356,1.0,14
25,25,3.1094228029890205,1.0,14
26,26,3.188704043964173,0.0,11
27,27,3.691792411927649,1.0,11
28,28,3.6990487927521687,1.0,12
29,29,3.5190523855920377,1.0,12
30,30,3.87305367051647,1.0,13
31,31,3.7716657761631245,1.0,13
32,32,3.5149851777145953,0.0,11
33,33,3.355445715576675,1.0,11
34,34,3.422671117250562,0.0,11
35,35,3.3628584848144794,1.0,13
36,36,3.2823516327625515,1.0,11
37,37,3.587894592700881,1.0,11
38,38,3.7935388896205637,1.0,31
